                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    127,                0.67403,                 1.1829,                 1.0458,                0.95554,                0.97599,                0.99415,                0.76954,                0.90157,                 0.4977,                 1.2023,                0.00175,                0.00175,                0.00175
                    128,                0.66726,                 1.1772,                 1.0485,                0.95655,                0.97622,                0.99415,                0.76976,                0.90047,                0.49649,                 1.2021,               0.001684,               0.001684,               0.001684
                    129,                0.67201,                 1.2017,                 1.0512,                0.95814,                0.97537,                0.99415,                0.76913,                0.89883,                0.49445,                 1.2011,               0.001618,               0.001618,               0.001618
                    130,                0.66986,                 1.1808,                 1.0405,                0.96244,                0.97637,                0.99458,                0.76935,                0.89775,                0.49485,                 1.2012,               0.001552,               0.001552,               0.001552
                    131,                0.64581,                 1.1448,                 1.0329,                0.96377,                0.97486,                0.99458,                 0.7701,                0.89667,                0.49359,                 1.2002,               0.001486,               0.001486,               0.001486
                    132,                0.64574,                 1.1442,                 1.0377,                0.96429,                0.97524,                0.99458,                0.76961,                0.89519,                0.49147,                 1.1998,                0.00142,                0.00142,                0.00142
                    133,                0.64765,                 1.1727,                 1.0348,                 0.9645,                0.97409,                0.99458,                0.77206,                0.89397,                0.49146,                  1.199,               0.001354,               0.001354,               0.001354
                    134,                0.64236,                 1.1497,                 1.0283,                0.96533,                0.97346,                0.99458,                 0.7704,                0.89366,                0.48944,                 1.1988,               0.001288,               0.001288,               0.001288
                    135,                0.64693,                 1.1435,                 1.0381,                0.96431,                0.96836,                0.99329,                0.77302,                0.89347,                 0.4886,                 1.1993,               0.001222,               0.001222,               0.001222
                    136,                 0.6397,                 1.1416,                 1.0268,                0.96482,                0.96778,                0.99329,                0.77592,                0.89269,                0.48819,                 1.1991,               0.001156,               0.001156,               0.001156
                    137,                0.64582,                 1.1667,                 1.0348,                0.96467,                0.96789,                0.99329,                0.77634,                0.89211,                0.48734,                 1.1994,                0.00109,                0.00109,                0.00109
                    138,                0.62403,                 1.1186,                 1.0277,                0.96449,                0.96798,                0.99329,                0.77738,                0.89123,                0.48649,                 1.1995,               0.001024,               0.001024,               0.001024
                    139,                0.63064,                 1.1323,                 1.0339,                0.96375,                0.96828,                0.99329,                0.77824,                0.89112,                0.48592,                 1.1997,               0.000958,               0.000958,               0.000958
                    140,                 0.6262,                 1.1278,                 1.0296,                0.96131,                 0.9722,                0.99458,                0.77961,                0.89088,                0.48542,                 1.2001,               0.000892,               0.000892,               0.000892
                    141,                0.47839,                0.99861,                0.94292,                0.96079,                0.97193,                0.99458,                0.77937,                0.89018,                0.48467,                 1.2005,               0.000826,               0.000826,               0.000826
                    142,                0.47145,                0.91183,                0.93754,                0.95913,                0.97219,                0.99458,                0.77897,                0.88948,                0.48542,                    1.2,                0.00076,                0.00076,                0.00076
                    143,                0.46376,                0.88351,                0.93533,                0.95744,                0.97217,                0.99458,                0.77962,                0.88899,                 0.4851,                 1.1998,               0.000694,               0.000694,               0.000694
                    144,                0.45177,                0.86174,                0.93064,                0.96017,                0.96814,                0.99329,                0.77649,                0.88886,                0.48421,                 1.1995,               0.000628,               0.000628,               0.000628
                    145,                0.44858,                0.88923,                0.92425,                0.95924,                0.96841,                0.99329,                0.77511,                0.88896,                 0.4836,                 1.1998,               0.000562,               0.000562,               0.000562
                    146,                0.44417,                0.95655,                0.91517,                0.95886,                0.96836,                0.99329,                 0.7751,                0.88897,                0.48252,                 1.2004,               0.000496,               0.000496,               0.000496
                    147,                0.44044,                0.85568,                0.93264,                0.95718,                 0.9689,                0.99329,                 0.7754,                0.88888,                0.48195,                 1.2006,                0.00043,                0.00043,                0.00043
                    148,                0.44384,                0.86922,                0.92964,                0.95503,                0.97146,                0.99329,                0.77551,                0.88867,                0.48147,                  1.201,               0.000364,               0.000364,               0.000364
                    149,                0.43752,                0.94025,                 0.9179,                0.95345,                0.97261,                0.99329,                0.77615,                0.88925,                 0.4807,                 1.2017,               0.000298,               0.000298,               0.000298
                    150,                0.43568,                0.85809,                0.92197,                0.95408,                0.97521,                0.99458,                0.77639,                0.88945,                0.48093,                 1.2024,               0.000232,               0.000232,               0.000232
